ch	BirdAge	Weight	Wing_Len	condix	Sex	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	Temp8	Temp9
1010101011000000	0	1.2	27.6	4.35	M	40.46157289	54.9674297	85.52562739	35.41141825	16.81633294	90.50266105	65.05344042	31.01619484
1010101011000000	0	1.28	27	4.74	F	68.4672921	9.731525974	32.00787767	12.79474224	39.14733978	16.36083277	51.70234949	26.0879236
1010101010110000	0	1.25	27.2	4.59	M	80.82904052	85.91784562	40.97680436	62.14384814	78.32610963	20.64958978	71.55030426	86.18878252
1010101010110000	0	1.09	27.5	3.96	F	19.42042559	92.29716037	90.72232558	82.28115642	36.58682837	82.12612653	63.91718274	64.3282251
1010101010110000	1	1.05	27.5	3.82	M	82.09709569	17.14322618	43.4757228	53.18057465	92.14334639	93.59407709	9.12743099	53.32886199
1010101010101100	0	1.04	25.5	4.08	F	49.22550274	0.733791082	10.40400211	48.37299795	22.84211067	7.4599521	13.5134639	36.21265388
1010101010101010	0	1.13	26.8	4.22	M	15.63515016	58.56756668	41.0251379	64.51677487	1.173845027	44.67897951	16.61047195	11.93147898
1010101010101010	1	1.32	28.5	4.63	F	53.59875544	26.32772289	70.04650878	30.8230167	75.04300163	18.49889401	85.0748017	48.2495964
1010101010101010	0	1.18	25.9	4.56	M	79.43487654	54.81429324	27.85531855	53.20181868	86.7908346	63.53423139	77.40199408	57.02607802
1010101010101010	0	1.07	26.7	4.01	F	94.24601379	70.48812213	31.51198477	69.42812959	80.31374898	25.26572577	84.42652975	74.54067369
1010101010101010	1	1.26	26.9	4.68	M	40.41229771	27.73907699	88.93030707	50.46464023	33.23377878	0.093687442	51.84267205	58.48972439
1010101010101010	0	1.27	27.6	4.6	F	54.92571089	44.26512688	84.98645406	29.57718996	61.56089841	5.135258962	89.93652791	92.04669029
1010101010101010	0	1.08	26	4.15	M	34.69819354	96.68914934	49.50503465	96.28451925	62.27430045	56.93807057	39.44561766	28.39692407
1010101010101010	1	1.11	27	4.11	F	0.968469935	26.28573657	17.48043124	33.64128626	34.93623289	5.709546432	99.6633054	1.083091553
1010101010101010	0	1.15	27.1	4.24	M	68.33335247	37.81714642	90.7642944	73.98797194	27.34649631	9.563949215	68.99361149	58.40305313
1010101010101010	0	1.03	26.5	3.89	F	75.90357475	24.71679719	38.64921192	98.81428995	19.46310508	45.11794229	17.5617713	21.07735602
1010101010101010	0	1.16	27.5	4.22	M	90.32880345	70.14264695	73.05395906	22.3058742	5.279354029	38.31683844	91.25342902	22.84717874
1010101010101010	0	1.18	26.3	4.49	F	61.83291571	60.95645528	20.89712718	30.2916022	5.428822199	33.32873476	4.182112473	0.09004937
1010101010101010	0	1.05	27.1	3.87	M	20.01688455	21.49831939	50.60519262	64.60012381	71.668388	1.408997783	18.86529317	0.554310577
1010101010101010	1	1.28	28.1	4.55	F	34.90410007	72.81683602	40.09775347	80.02866036	69.15074871	16.76423107	16.64583769	70.46602888
1010101010101010	0	1.05	27.5	3.82	M	58.88250223	97.68578622	95.73430021	45.74028563	33.52445585	11.66158721	57.23930225	16.4480157
1010101010101010	0	1.16	26.6	4.36	F	54.52571351	76.53996483	18.53007106	28.4817199	49.11942799	83.13537634	62.30812131	73.7503781
1010101010101010	0	1.15	26.3	4.37	M	21.81315199	3.284524847	9.681865806	42.32544412	53.88991768	88.61974839	89.37452908	17.35796146
1010101010101010	1	1.27	27	4.7	F	7.948430371	31.47851168	59.70120716	12.48207276	20.71197305	89.84439145	20.53163757	27.89669547
1010101010101010	1	1.37	27.5	4.98	M	23.76934348	18.86104573	72.87613943	97.37168374	11.57371134	33.25260414	39.63147032	78.40504022
1010101010101010	1	1.22	26.5	4.6	F	71.00863336	48.919229	45.83300692	57.23253617	2.02291368	27.63349374	23.13180931	83.67336346
1010101010101010	0	1.22	26.8	4.55	M	17.24508088	7.844057865	56.36352329	54.74768246	25.33910684	33.90793069	98.40540215	5.623282655
1010101010101010	0	1.14	26.2	4.35	F	26.633851	51.21350032	3.912399034	16.44494482	50.67195026	68.5299844	74.68388374	77.5302764
1010101010101010	0	1.14	27	4.22	M	45.55722252	95.320486	29.37975214	56.41181467	10.24712638	86.30469583	2.974369121	55.9591952
1010101010101010	0	1.12	27.4	4.09	F	71.81097243	15.89373164	2.383127646	29.22177019	36.58310494	97.92109334	67.29191907	10.62373593
