PointYrID,Point,Year,MaxOfVisit,latitude,longitude,CWHR1,elevation,aspect,slope,SRI,southness,ShrubCov,TreeCov,BA,g30SNAGS,totSNAGS,MaxDBH,DisturbanceYear,TRT,Landscape,Clearcut,ndwi,tmn,tmx,dndwi,dtmn,dtmx,cwd
EL05A.C.2010,EL05A.C,2010,2,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.367,0.10313,22.99,-0.011,2.49307,0.31,479.7
EL05A.C.2011,EL05A.C,2011,2,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.339,-0.36913,20.1,-0.039,2.02081,-2.58,376.8
EL05A.C.2012,EL05A.C,2012,2,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.384,0.41564,23.2,0.006,2.80558,0.52,591.27
EL05A.C.2013,EL05A.C,2013,1,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.427,-2.1584,24.72,0.049,0.23154,2.04,568.24
EL05A.C.2014,EL05A.C,2014,2,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.459,3.57087,24.88,0.081,5.96081,2.2,668.13
EL05A.C.2015,EL05A.C,2015,1,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,85,18,2.7,0,1,10,NA,Undisturbed,Modified,1,0.424,2.34147,26.52,0.046,4.73141,3.84,657.22
EL05A.C.2016,EL05A.C,2016,2,38.64379129,-120.4006308,MCP,1649,186.22,28.9,-0.9487,0.9655,70,19.5,4.7,0.5,2,19,NA,Undisturbed,Modified,1,0.463,-0.65443,25.27,0.085,1.73551,2.59,600.83
EL05A.C.2017,EL05A.C,2017,2,38.64379129,-120.4006308,PPN,1649,186.22,28.9,-0.9487,0.9655,55,21,6.8,1,3,28,NA,Undisturbed,Modified,1,0.435,-2.26241,23.81396,0.057,0.12753,1.13396,670.95
EL05A.C.2019,EL05A.C,2019,1,38.64379129,-120.4006308,PPN,1649,186.22,28.9,-0.9487,0.9655,55,21,6.8,1,3,28,NA,Undisturbed,Modified,1,0.392,0.73415,23.41667,0.014,3.12409,0.73667,732.84
EL05A.E.2010,EL05A.E,2010,2,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,NA,Undisturbed,Modified,0,0.401,-0.00403,22.99,0.028,2.47605,0.31,479.7
EL05A.E.2011,EL05A.E,2011,2,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,NA,Undisturbed,Modified,0,0.425,-0.25466,20.1,0.052,2.22542,-2.58,376.8
EL05A.E.2012,EL05A.E,2012,2,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,NA,Undisturbed,Modified,0,0.414,0.51793,23.2,0.041,2.99801,0.52,591.27
EL05A.E.2013,EL05A.E,2013,1,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,NA,NA,Modified,0,0.419,-2.03569,24.72,0.046,0.44439,2.04,568.24
EL05A.E.2014,EL05A.E,2014,2,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,2013,Managed,Modified,0,0.028,3.68534,24.88,-0.345,6.16542,2.2,668.13
EL05A.E.2015,EL05A.E,2015,1,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,5,42,11,15,23,94,2013,Managed,Modified,0,-0.034,2.43534,26.52,-0.407,4.91542,3.84,657.22
EL05A.E.2016,EL05A.E,2016,2,38.64380076,-120.3977554,SMC,1639,68.93,28.48,-0.5019,0.3829,7.5,23.5,9.9,9.5,14,88,2013,Managed,Modified,0,0.047,-0.50251,25.27,-0.326,1.97757,2.59,600.83
EL05A.E.2017,EL05A.E,2017,2,38.64380076,-120.3977554,MCP,1639,68.93,28.48,-0.5019,0.3829,10,5,8.8,4,5,82,2013,Managed,Modified,0,0.071,-2.1185,24.03224,-0.302,0.36158,1.35224,678.68
EL05A.E.2019,EL05A.E,2019,1,38.64380076,-120.3977554,MCP,1639,68.93,28.48,-0.5019,0.3829,10,5,8.8,4,5,82,2013,Managed,Modified,0,0.094,0.88229,23.62185,-0.279,3.36237,0.94185,734.17
EL05A.N.2010,EL05A.N,2010,2,38.64604035,-120.4006429,SMC,1581,185.75,20.64,0.5546,0.968,12,48,14,20,26,94,NA,Undisturbed,Modified,0,0.319,0.13536,23.48,0.004,2.42216,0.28,545.5
EL05A.N.2011,EL05A.N,2011,2,38.64604035,-120.4006429,SMC,1581,185.75,20.64,0.5546,0.968,12,48,14,20,26,94,NA,Undisturbed,Modified,0,0.34,-0.14964,20.55,0.025,2.13716,-2.65,444.4
EL05A.N.2012,EL05A.N,2012,2,38.64604035,-120.4006429,SMC,1581,185.75,20.64,0.5546,0.968,12,48,14,20,26,94,NA,Undisturbed,Modified,0,0.345,0.60422,23.63,0.03,2.89101,0.43,663.04
